Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;VECD621;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;2D1B;;;465000.00;105000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113322;P;40.00;5.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/2-dormitorios/vespucio-capital/3281?selectedUnit=507789&codigo_referido=elkisd;621;Lista para arrendar
Arriendo Normal;VECD625;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;2D2B;;;510000.00;110000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113326;O;46.00;6.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/2-dormitorios/vespucio-capital/3281?selectedUnit=507793&codigo_referido=elkisd;625;Lista para arrendar
Arriendo Normal;VECD626;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;2D2B;;;500000.00;110000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113327;O;45.00;6.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/2-dormitorios/vespucio-capital/3281?selectedUnit=507794&codigo_referido=elkisd;626;Lista para arrendar
Arriendo Normal;VECD802;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;2D1B;;;455000.00;105000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113359;N;39.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/2-dormitorios/vespucio-capital/3281?selectedUnit=507826&codigo_referido=elkisd;802;Lista para arrendar
Arriendo Normal;VECD806;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113363;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507830&codigo_referido=elkisd;806;Lista para arrendar
Arriendo Normal;VECD807;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113364;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507831&codigo_referido=elkisd;807;Lista para arrendar
Arriendo Normal;VECD808;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113365;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507832&codigo_referido=elkisd;808;Lista para arrendar
Arriendo Normal;VECD809;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113366;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507833&codigo_referido=elkisd;809;Lista para arrendar
Arriendo Normal;VECD810;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113367;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507834&codigo_referido=elkisd;810;Lista para arrendar
Arriendo Normal;VECD811;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113368;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507835&codigo_referido=elkisd;811;Lista para arrendar
