Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;CDMD2611-B;Conde del Maule 4631;Estación Central;Plaza Conde del Maule;1;30;Estudio;;;245000.00;52000.00;6;12;0.00;0;1;0;No;3;3.00;0;41970;P;23.63;2.81;;0;NOK;;;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-conde-del-maule/1345?selectedUnit=445281&codigo_referido=elkisd;2611-B;Lista para arrendar
Arriendo Normal;CDMD2612-B;Conde del Maule 4631;Estación Central;Plaza Conde del Maule;1;30;Estudio;;;245000.00;52000.00;6;12;0.00;0;1;0;No;3;3.00;0;41972;P;23.91;2.26;;0;NOK;;2025-08-06;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-conde-del-maule/1345?selectedUnit=445283&codigo_referido=elkisd;2612-B;Lista para arrendar
Arriendo Normal;26527;Av. María Rozas Velásquez 45;Estación Central;Caiquen;0;30;Estudio;;;260000.00;50000.00;12;0;0.00;0;1;0;No;3;3.00;1;36682;O;25.23;3.50;Edificio Retail;2597;OK;MS
Se recibe el 06 de enero a las 09:00 horas.
Si focos y barras.;2025-07-17;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/caiquen/1247?selectedUnit=446919&codigo_referido=elkisd;1613;Lista para arrendar
Arriendo Normal;PAT1042;Conde del Maule 4642;Estación Central;Barrio Central;0;30;Estudio;;;210000.00;30000.00;12;0;10.00;1;1;0;Si;3;3.00;1;43651;N;18.62;0.00;Edificio Retail;1956;OK;;2025-08-01;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/barrio-central/433?selectedUnit=449020&codigo_referido=elkisd;1920;Lista para arrendar
Arriendo Normal;31012;Toro Mazotte 110;Estación Central;Vida Urbana;0;30;Estudio;;;190000.00;35000.00;12;0;0.00;0;1;0;No;3;3.00;1;44620;P;16.00;0.00;Edificio Retail;1941;OK;;2024-07-04;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/vida-urbana/340?codigo_referido=elkisd;410;Re-acondicionamiento
Arriendo Normal;40152;Blanco Garcés 154;Estación Central;Condominio Jardín Centro;0;30;Estudio;;;245000.00;25000.00;12;0;0.00;0;1;0;No;3;3.00;1;49895;O;19.00;0.00;Edificio Retail;1131;OK;jb: amoblado tributario Cocina equipada | Refrigerador no empotrado | Horno Microondas | Sillas | Luminarias | Vajilla | Vasos | Cubiertos | Otros mobiliarios | Encimera | Mesa | Cama;;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/condominio-jardin-centro/905?codigo_referido=elkisd;805-A;Re-acondicionamiento
Arriendo Normal;40254;Sta. Petronila 32;Estación Central;Doña Petronila;0;30;Estudio;;;200000.00;35000.00;12;0;50.00;1;1;0;Si;3;3.00;1;49955;;20.80;0.00;Edificio Retail;1966;OK;;2025-07-29;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/dona-petronila/435?selectedUnit=458848&codigo_referido=elkisd;812;Lista para arrendar
Arriendo Especial Plus;40771;María Rozas Velásquez 55;Estación Central;Alto Las Rejas;0;30;Estudio;;;196000.00;45000.00;6;0;50.00;2;1;0;Si;3;3.00;1;50025;N;29.00;1.00;Inspector;484;OK;;2025-06-06;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/alto-las-rejas/419?selectedUnit=459774&codigo_referido=elkisd;2202;Lista para arrendar
Arriendo Especial;43363;Coronel Souper 4060;Estación Central;Mirador Souper;0;30;Estudio;;;220000.00;35000.00;12;0;50.00;2;1;0;Si;3;3.00;1;50941;S;19.00;0.00;Propietario;0;NOK;;2025-02-21;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/mirador-souper/384?selectedUnit=462074&codigo_referido=elkisd;1106-B;Lista para arrendar
Arriendo Normal;44690;Coronel Souper 4060;Estación Central;Mirador Souper;0;30;Estudio;;;225000.00;35000.00;12;0;0.00;0;1;0;Si;3;3.00;1;52158;S;18.00;0.00;Inspector;1517;OK;MM: REAJUSTE ANUAL, no mascotas;;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/mirador-souper/384?selectedUnit=465202&codigo_referido=elkisd;1701-A;Lista para arrendar
Arriendo Normal;47485;Cnel. Souper 4171;Estación Central;Sinergia Souper;0;30;Estudio;;;1.00;60000.00;12;0;0.00;0;1;0;Si;3;3.00;1;55998;S;26.00;2.00;Propietario;0;OK;LF.  REAJUSTE ANUAL ;;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/sinergia-souper/1476?codigo_referido=elkisd;204;Re-acondicionamiento
Arriendo Normal;48855;Sta. Petronila 32;Estación Central;Doña Petronila;0;30;Estudio;;;1.00;35000.00;12;0;0.00;0;1;0;No;3;3.00;1;80733;SO;18.00;0.00;Ofic. Santa Lucía;199;NOK;;2025-01-14;Caducado;Si;;203;Lista para arrendar
Arriendo Especial;49159;Sta. Petronila 32;Estación Central;Doña Petronila;0;30;Estudio;;;200000.00;35000.00;12;0;50.00;0;1;0;Si;3;3.00;1;59288;S;20.86;0.00;;2566;OK;LF: REAJUSTE ANUAL No Mascotas;2025-05-09;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/dona-petronila/435?selectedUnit=473594&codigo_referido=elkisd;1413;Lista para arrendar
Arriendo Especial Plus;53479;Sta. Petronila 32;Estación Central;Doña Petronila;0;30;Estudio;;;1.00;35000.00;12;0;50.00;2;1;0;Si;3;3.00;1;66374;N;22.00;0.00;Inspector;2217;OK;LF: REAJUSTE ANUAL 
Depto Usado / No Mascots;2024-08-03;Ejecutado;Si;;2003;Lista para arrendar
Arriendo Especial Plus;53480;Sta. Petronila 32;Estación Central;Doña Petronila;0;30;Estudio;;;1.00;35000.00;12;0;50.00;2;1;0;Si;3;3.00;1;75842;O;22.00;0.00;Ofic. Santa Lucía;1355;OK;LF: REAJUSTE ANUAL  Depto Usado;;;Si;;2603;Lista para arrendar
Arriendo Normal;ACND1901;Conde del Maule 4160;Estación Central;Alto Conde;1;30;Estudio;;;225000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;67778;S;21.92;0.00;;0;NOK;;2025-08-12;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/alto-conde/2933?codigo_referido=elkisd;1901;Lista para arrendar
Arriendo Normal;PCND1706;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69197;N;19.90;0.00;;0;OK;;2025-04-29;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?selectedUnit=487590&codigo_referido=elkisd;1706;Lista para arrendar
Arriendo Normal;PCND2407;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69218;N;19.84;0.00;;0;NOK;;;Enviado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2407;Re-acondicionamiento
Arriendo Normal;PCND2905;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69231;N;20.62;0.00;;0;OK;;2025-08-11;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?selectedUnit=487624&codigo_referido=elkisd;2905;Lista para arrendar
Arriendo Normal;PCND2804;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69238;N;20.31;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2804;Re-acondicionamiento
Arriendo Especial;PCND3005;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69247;N;20.62;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;3005;Re-acondicionamiento
Arriendo Normal;PCND805;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69248;N;20.62;0.00;;0;NOK;;;Enviado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;805;Re-acondicionamiento
Arriendo Normal;PCND2404;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;213000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69249;N;20.31;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2404;Re-acondicionamiento
Arriendo Normal;PCND1605;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;213000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69250;N;20.62;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;1605;Re-acondicionamiento
Arriendo Normal;PCND1905;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;213000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69252;N;20.62;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;1905;Re-acondicionamiento
Arriendo Normal;PCND3301;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;34000.00;12;0;50.00;2;1;0;No;3;3.00;0;69263;S;19.41;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;3301;Re-acondicionamiento
Arriendo Normal;PCND2801;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;34000.00;12;0;50.00;2;1;0;No;3;3.00;0;69271;S;19.41;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2801;Re-acondicionamiento
Arriendo Normal;PCND3201;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;34000.00;12;0;50.00;2;1;0;No;3;3.00;0;69273;S;19.41;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;3201;Re-acondicionamiento
Arriendo Normal;PCND405;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69274;N;20.62;0.00;;0;OK;;2025-08-11;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?selectedUnit=487667&codigo_referido=elkisd;405;Lista para arrendar
Arriendo Normal;PCND2005;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;213000.00;36000.00;12;0;50.00;2;1;0;No;3;3.00;0;69276;N;20.62;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2005;Re-acondicionamiento
Arriendo Normal;PCND3206;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69277;N;19.90;0.00;;0;NOK;;;Aprobado sin mejoras;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;3206;Re-acondicionamiento
Arriendo Normal;PCND2906;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;210000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69288;N;19.90;0.00;;0;NOK;;2025-08-01;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?selectedUnit=487681&codigo_referido=elkisd;2906;Lista para arrendar
Arriendo Especial;PCND2206;Av. Ecuador 4626;Estación Central;Plaza Central;1;30;Estudio;;;212000.00;35000.00;12;0;50.00;2;1;0;No;3;3.00;0;69295;N;19.90;0.00;;0;NOK;;;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/plaza-central/2934?codigo_referido=elkisd;2206;Re-acondicionamiento
