
> hommie-0-commission@1.0.0 lint /Users/macbookpro/Documents/hommie-0-commission-next
> eslint app components hooks lib types --format=compact

/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 33, col 10, Warning - 'isExpanded' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 33, col 22, Warning - 'setIsExpanded' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 48, col 5, Warning - 'getFilterAnalytics' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 109, col 89, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 451, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 451, col 30, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/components/forms/BookingForm.tsx: line 57, col 9, Error - Unexpected lexical declaration in case block. (no-case-declarations)
/Users/macbookpro/Documents/hommie-0-commission-next/components/forms/BookingForm.tsx: line 60, col 9, Error - Unexpected lexical declaration in case block. (no-case-declarations)
/Users/macbookpro/Documents/hommie-0-commission-next/components/forms/BookingForm.tsx: line 127, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/PaginationControls.tsx: line 285, col 17, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/ResultsGrid.tsx: line 125, col 66, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 2, col 34, Warning - 'useCallback' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 58, col 17, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 63, col 11, Warning - 'items' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 63, col 45, Warning - 'dimensions' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 217, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/lists/VirtualResultsGrid.tsx: line 220, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/marketing/ComingSoonHero.tsx: line 14, col 3, Warning - 'CheckCircle' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/properties/BuildingCard.tsx: line 18, col 3, Warning - 'id' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/ui/BuildingCardV2.tsx: line 23, col 10, Warning - 'getPrimaryBadge' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/ui/BuildingCardV2.tsx: line 183, col 55, Warning - 'index' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useAdvancedFilters.ts: line 158, col 9, Warning - 'debouncedSearch' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useAdvancedFilters.ts: line 368, col 6, Warning - React Hook useMemo has a missing dependency: 'setFilters'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsData.ts: line 206, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsData.ts: line 210, col 6, Warning - React Hook useCallback has missing dependencies: 'filters', 'setBuildings', 'setError', 'setFilteredBuildings', 'setLoading', and 'sort'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsData.ts: line 247, col 6, Warning - React Hook useEffect has missing dependencies: 'buildings.length', 'fetchBuildings', and 'loading'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsData.ts: line 256, col 6, Warning - React Hook useEffect has missing dependencies: 'buildings', 'filters', and 'setFilteredBuildings'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsData.ts: line 256, col 25, Warning - React Hook useEffect has a complex expression in the dependency array. Extract it to a separate variable so it can be statically checked. (react-hooks/exhaustive-deps)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsPagination.ts: line 124, col 5, Warning - 'setFilters' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsPagination.ts: line 125, col 5, Warning - 'setTotalPages' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useBuildingsPagination.ts: line 126, col 5, Warning - 'setTotalCount' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useVirtualGrid.ts: line 52, col 18, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useVirtualGrid.ts: line 200, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/hooks/useVirtualGrid.ts: line 226, col 42, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/adapters/assetplan.ts: line 247, col 51, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 1, col 48, Warning - 'UnitSchema' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 29, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 38, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 67, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 72, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 76, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 84, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 87, col 78, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 102, col 48, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 115, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 118, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 126, col 9, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 130, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 134, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 140, col 3, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 145, col 3, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 148, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 151, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 154, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 172, col 3, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 175, col 3, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 233, col 9, Warning - 'data' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 274, col 62, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/data.ts: line 282, col 61, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 22, col 11, Warning - 'minPriceAvail' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 24, col 13, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 24, col 70, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 24, col 97, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 26, col 43, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 26, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 26, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 26, col 86, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 27, col 44, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 27, col 51, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 27, col 65, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/db.mock.ts: line 27, col 87, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 6, col 3, Warning - 'enumMFOrRetail' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 7, col 3, Warning - 'validUrlOrNull' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 8, col 3, Warning - 'upperTrim' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 10, col 3, Warning - 'mapTypologyPublic' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 15, col 3, Warning - 'isOptionalX' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 22, col 3, Warning - 'mapContractIndexUFIPC' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 23, col 16, Warning - 'toIntNull2' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 29, col 20, Warning - 'toBoolGeneric2' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 32, col 3, Warning - 'calculatePriceFrom' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 33, col 3, Warning - 'calculatePriceTo' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 34, col 3, Warning - 'hasAvailability' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 35, col 3, Warning - 'calculateRentaMinima' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 36, col 3, Warning - 'calculateFeaturedFlag' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 39, col 3, Warning - 'calculateBuildingAggregations' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 40, col 3, Warning - 'calculatePricePercentile' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 41, col 3, Warning - 'calculateFeaturedFlagWithPercentile' is defined but never used. (@typescript-eslint/no-unused-vars)
